id,target
0,24
1,1
2,30
3,0
4,22
5,25
6,6
7,3
8,8
9,11
10,14
11,31
12,0
13,24
14,28
15,31
16,30
17,27
18,1
19,11
20,15
21,0
22,31
23,22
24,4
25,10
26,22
27,10
28,5
29,8
30,26
31,9
32,23
33,2
34,21
35,5
36,30
37,4
38,24
39,10
40,11
41,12
42,18
43,24
44,1
45,23
46,20
47,21
48,4
49,19
50,5
51,30
52,5
53,19
54,24
55,10
56,21
57,10
58,9
59,0
60,14
61,18
62,8
63,29
64,16
65,2
66,23
67,23
68,5
69,1
70,17
71,25
72,8
73,30
74,9
75,10
76,8
77,20
78,8
79,9
80,2
81,0
82,13
83,28
84,22
85,15
86,23
87,0
88,4
89,19
90,10
91,0
92,7
93,28
94,19
95,28
96,22
97,25
98,11
99,8
100,13
101,10
102,24
103,31
104,7
105,13
106,27
107,28
108,4
109,28
110,30
111,0
112,27
113,24
114,6
115,6
116,1
117,30
118,30
119,23
120,21
121,8
122,23
123,29
124,28
125,21
126,23
127,27
128,20
129,0
130,23
131,23
132,8
133,0
134,29
135,13
136,12
137,1
138,3
139,11
140,21
141,5
142,0
143,0
144,0
145,12
146,1
147,5
148,14
149,28
150,13
151,14
152,1
153,6
154,26
155,6
156,2
157,4
158,29
159,8
160,4
161,16
162,16
163,13
164,24
165,11
166,26
167,17
168,9
169,4
170,24
171,30
172,25
173,1
174,8
175,31
176,24
177,28
178,28
179,0
180,28
181,31
182,25
183,30
184,23
185,2
186,16
187,18
188,10
189,4
190,23
191,2
192,26
193,18
194,0
195,0
196,27
197,30
198,15
199,30
200,31
201,21
202,28
203,17
204,20
205,18
206,25
207,24
208,19
209,30
210,25
211,5
212,30
213,4
214,4
215,21
216,6
217,0
218,20
219,27
220,27
221,21
222,7
223,13
224,8
225,30
226,14
227,4
228,0
229,3
230,28
231,9
232,10
233,18
234,17
235,9
236,1
237,24
238,28
239,1
240,4
241,2
242,6
243,22
244,21
245,9
246,23
247,12
248,11
249,30
250,5
251,9
252,19
253,13
254,5
255,23
256,23
257,13
258,29
259,7
260,14
261,11
262,4
263,13
264,0
265,30
266,4
267,30
268,8
269,11
270,6
271,16
272,14
273,16
274,30
275,12
276,27
277,13
278,9
279,4
280,8
281,24
282,4
283,12
284,20
285,1
286,1
287,30
288,7
289,23
290,16
291,10
292,13
293,8
294,26
295,18
296,0
297,10
298,4
299,16
300,22
301,22
302,20
303,4
304,20
305,30
306,18
307,8
308,1
309,9
310,3
311,21
312,12
313,5
314,12
315,28
316,13
317,27
318,27
319,27
320,15
321,12
322,11
323,6
324,5
325,16
326,0
327,17
328,5
329,4
330,0
331,4
332,30
333,20
334,19
335,30
336,6
337,30
338,6
339,7
340,12
341,5
342,7
343,20
344,19
345,19
346,10
347,19
348,11
349,21
350,21
351,16
352,30
353,8
354,14
355,22
356,10
357,25
358,5
359,16
360,6
361,12
362,22
363,10
364,0
365,10
366,0
367,25
368,10
369,1
370,21
371,1
372,10
373,25
374,12
375,28
376,24
377,30
378,13
379,13
380,19
381,9
382,16
383,30
384,27
385,25
386,12
387,22
388,3
389,13
390,14
391,7
392,1
393,3
394,23
395,30
396,30
397,29
398,23
399,25
400,0
401,1
402,23
403,17
404,17
405,18
406,31
407,19
408,20
409,0
410,4
411,8
412,21
413,18
414,2
415,5
416,0
417,27
418,11
419,8
420,19
421,2
422,15
423,7
424,26
425,1
426,18
427,27
428,0
429,27
430,22
431,14
432,26
433,2
434,1
435,23
436,25
437,19
438,31
439,4
440,12
441,21
442,3
443,14
444,1
445,5
446,0
447,5
448,1
449,24
450,30
451,16
452,25
453,19
454,28
455,20
456,16
457,27
458,25
459,4
460,0
461,7
462,28
463,1
464,14
465,24
466,5
467,0
468,19
469,3
470,25
471,3
472,24
473,0
474,5
475,3
476,3
477,19
478,8
479,14
480,25
481,1
482,30
483,5
484,27
485,1
486,8
487,11
488,22
489,10
490,27
491,29
492,11
493,25
494,11
495,18
496,28
497,12
498,14
499,18
500,24
501,2
502,22
503,1
504,22
505,3
506,9
507,24
508,23
509,5
510,9
511,5
512,5
513,22
514,30
515,13
516,12
517,14
518,1
519,10
520,1
521,18
522,18
523,10
524,2
525,6
526,7
527,12
528,0
529,26
530,0
531,13
532,28
533,22
534,5
535,21
536,10
537,2
538,19
539,4
540,4
541,7
542,13
543,12
544,27
545,10
546,17
547,13
548,12
549,22
550,6
551,0
552,3
553,1
554,22
555,4
556,10
557,2
558,21
559,3
560,22
561,18
562,25
563,9
564,21
565,25
566,11
567,3
568,28
569,17
570,1
571,19
572,16
573,19
574,10
575,22
576,28
577,19
578,9
579,0
580,30
581,2
582,7
583,16
584,24
585,30
586,0
587,25
588,26
589,27
590,13
591,3
592,15
593,10
594,19
595,10
596,13
597,1
598,21
599,12
600,18
601,1
602,4
603,3
604,1
605,24
606,18
607,8
608,0
609,20
610,25
611,13
612,0
613,7
614,18
615,23
616,7
617,22
618,14
619,1
620,24
621,14
622,6
623,7
624,16
625,5
626,30
627,23
628,11
629,7
630,18
631,4
632,11
633,3
634,30
635,16
636,4
637,4
638,27
639,18
640,3
641,7
642,1
643,31
644,16
645,3
646,8
647,26
648,0
649,10
650,8
651,0
652,10
653,4
654,27
655,2
656,25
657,29
658,16
659,27
660,2
661,5
662,23
663,24
664,24
665,10
666,17
667,8
668,4
669,1
