loc_x,loc_y,minutes_remaining,shot_distance,shot_made_flag,shot_id
0,0,7,0,1,1
-3,130,9,13,0,2
82,8,7,8,0,3
100,101,10,14,1,4
0,0,9,0,1,5
-18,55,0,5,0,6
-20,15,2,2,1,7
-240,4,0,24,1,8
-51,30,5,5,0,9
103,53,2,11,1,10
-108,159,5,19,0,11
155,30,1,15,1,12
0,0,3,0,0,13
195,178,4,26,1,14
-133,233,5,26,0,15
77,252,4,26,1,16
-112,143,2,18,0,17
-212,46,6,21,0,18
0,0,0,0,1,19
-27,3,6,2,0,20
-3,12,2,1,1,21
18,1,6,1,1,22
0,0,6,0,0,23
13,31,4,3,0,24
17,9,2,1,1,25
-87,28,4,9,1,26
-5,11,0,1,1,27
-151,201,6,25,1,28
220,158,9,27,0,29
-172,194,2,25,0,30
-120,146,1,18,0,31
192,69,4,20,1,32
-113,20,2,11,1,33
-134,157,11,20,0,34
100,151,9,18,0,35
-135,148,3,20,0,36
-154,105,9,18,0,37
-23,202,6,20,1,38
-115,-14,3,11,0,39
0,0,3,0,1,40
-5,132,2,13,0,41
-210,128,4,24,0,42
-114,-17,1,11,1,43
0,0,0,0,0,44
-93,56,5,10,0,45
-21,119,6,12,0,46
0,0,5,0,1,47
67,224,5,23,1,48
13,250,2,25,1,49
-79,255,0,26,0,50
51,246,2,25,1,51
-239,-5,2,23,0,52
117,171,2,20,1,53
0,0,6,0,1,54
-27,80,0,8,1,55
-204,163,0,26,0,56
-61,30,4,6,1,57
248,17,11,24,0,58
28,5,7,2,1,59
0,0,7,0,1,60
1,72,0,7,0,61
-162,116,0,19,1,62
-3,66,5,6,0,63
117,174,4,20,1,64
26,55,8,6,1,65
0,0,5,0,1,66
-54,161,9,16,0,67
122,219,10,25,0,68
-57,143,7,15,1,69
-37,245,0,24,1,70
-135,140,7,19,1,71
-111,176,3,20,0,72
0,0,10,0,1,73
-72,240,0,25,0,74
6,4,0,0,1,75
0,0,4,0,1,76
-48,96,4,10,0,77
123,164,3,20,1,78
-147,-3,3,14,1,79
-31,28,0,4,1,80
200,-5,11,20,0,81
0,0,9,0,0,82
-29,159,10,16,1,83
0,0,8,0,0,84
0,0,3,0,0,85
-3,209,11,20,1,86
-62,187,2,19,0,87
113,78,2,13,0,88
-115,122,1,16,0,89
230,-6,6,23,0,90
0,0,7,0,0,91
-8,186,11,18,0,92
102,166,10,19,0,93
108,135,1,17,0,94
39,190,6,19,1,95
-149,115,5,18,0,96
129,15,1,12,0,97
0,0,0,0,1,98
119,17,2,12,0,99
96,141,9,17,0,100
0,0,11,0,0,101
0,0,4,0,1,102
-18,175,11,17,0,103
-158,107,8,19,1,104
175,59,3,18,1,105
0,0,11,0,0,106
